#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1722462479        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462490        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462500        2212.930000       263.182000        50.877100         21.678500         0.000000          138.638000        50.877100        
1722462510        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462521        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462531        2212.930000       263.182000        50.877100         21.678500         0.000000          138.638000        50.877100        
1722462542        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462552        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462563        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462573        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462583        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462594        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462604        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462615        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462625        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462636        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462646        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462656        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462667        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462677        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462688        2212.930000       263.182000        50.877100         21.678500         0.000000          138.641000        50.877100        
1722462698        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462708        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462719        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462729        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462739        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462750        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462760        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462772        2212.930000       263.182000        50.877100         21.678500         0.000000          138.638000        50.877100        
1722462782        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462792        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462803        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462813        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462823        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462834        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462845        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462855        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462865        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462876        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462886        2212.930000       263.182000        50.877100         21.678500         0.000000          138.638000        50.877100        
1722462896        2212.930000       263.182000        50.877100         21.678500         0.000000          138.638000        50.877100        
1722462906        2212.930000       263.182000        50.877100         21.678500         0.000000          138.632000        50.877100        
1722462917        2212.930000       263.182000        50.877100         21.678500         0.000000          138.636000        50.877100        
1722462927        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722462937        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462948        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462960        2212.930000       263.182000        50.877100         21.678500         0.000000          138.638000        50.877100        
1722462970        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462980        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722462991        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722463001        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722463011        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722463022        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722463032        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722463042        2212.930000       263.182000        50.877100         21.678500         0.000000          138.638000        50.877100        
1722463053        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722463063        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722463074        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722463084        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722463095        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722463105        2212.930000       263.182000        50.877100         21.678500         0.000000          138.640000        50.877100        
1722463116        2212.930000       263.182000        50.877100         21.678500         0.000000          138.638000        50.877100        
1722463126        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722463136        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722463147        2212.930000       263.182000        50.877100         21.678500         0.000000          138.638000        50.877100        
1722463157        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
1722463167        2212.930000       263.182000        50.877100         21.678500         0.000000          138.639000        50.877100        
